family_name,group_name,n_days,actual_total,pred_total,signed_bias,bias_ratio,segment_wrmsse,weight_sum,weighted_contribution,model,fold
weekday,Tuesday,8,8315.0,10592.57142857143,2277.5714285714294,1.2739111760158064,0.4288034851556906,1.0,0.4288034851556906,recent21_28_w50_50_sunday0,recent_2025
weekday,Tuesday,8,8315.0,10422.857142857143,2107.857142857143,1.253500558371274,0.4304238565453939,1.0,0.4304238565453939,recent21_sunday0,recent_2025
weekday,Tuesday,8,8315.0,10881.726984126986,2566.7269841269863,1.3086863480609725,0.4323288971180608,1.0,0.4323288971180608,recent18_21_28_w35_50_15_sunday0,recent_2025
weekday,Tuesday,8,8315.0,11079.857142857143,2764.857142857143,1.3325143887982132,0.4323775023954587,1.0,0.4323775023954587,recent56_sunday0,recent_2025
weekday,Tuesday,8,8315.0,11341.761904761905,3026.7619047619046,1.3640122555336025,0.43310808798121625,1.0,0.43310808798121625,recent84_sunday0,recent_2025
weekday,Tuesday,8,8315.0,11158.800000000001,2843.800000000001,1.3420084185207457,0.4341199179375771,1.0,0.4341199179375771,recent14_18_21_w20_45_35_sunday0,recent_2025
weekday,Tuesday,8,8315.0,11480.0,3165.0,1.380637402285027,0.4344770666563107,1.0,0.4344770666563107,recent14_sunday0,recent_2025
weekday,Tuesday,8,8315.0,11588.444444444445,3273.4444444444453,1.3936794280750986,0.4384953106642894,1.0,0.4384953106642894,recent18_sunday0,recent_2025
weekday,Tuesday,8,8315.0,0.0,-8315.0,0.0,0.46199078908524227,1.0,0.46199078908524227,zero,recent_2025
weekday,Wednesday,8,13713.0,10762.285714285712,-2950.714285714288,0.7848235772103633,0.5315343275653289,1.0,0.5315343275653289,recent28_sunday0,recent_2025
weekday,Wednesday,8,13713.0,11588.444444444445,-2124.5555555555547,0.845069966050058,0.534199236864823,1.0,0.534199236864823,recent18_sunday0,recent_2025
weekday,Wednesday,8,13713.0,10592.57142857143,-3120.4285714285706,0.7724474169453387,0.5365589413430814,1.0,0.5365589413430814,recent21_28_w50_50_sunday0,recent_2025
weekday,Wednesday,8,13713.0,10756.82142857143,-2956.1785714285706,0.7844251023533457,0.5366964163460939,1.0,0.5366964163460939,recent21_28_56_w25_50_25_sunday0,recent_2025
weekday,Wednesday,8,13713.0,10707.0,-3006.0,0.7807919492452418,0.5371204585959739,1.0,0.5371204585959739,recent21_28_56_w35_45_20_sunday0,recent_2025
weekday,Wednesday,8,13713.0,10881.726984126986,-2831.2730158730137,0.7935336530392318,0.5373863189672223,1.0,0.5373863189672223,recent18_21_28_w35_50_15_sunday0,recent_2025
weekday,Wednesday,8,13713.0,11158.800000000001,-2554.199999999999,0.8137387880113761,0.5389208269081531,1.0,0.5389208269081531,recent14_18_21_w20_45_35_sunday0,recent_2025
weekday,Wednesday,8,13713.0,10422.857142857143,-3290.142857142857,0.7600712566803138,0.5425003686405809,1.0,0.5425003686405809,recent21_sunday0,recent_2025
weekday,Wednesday,8,13713.0,11079.857142857143,-2633.142857142857,0.8079819983123419,0.5468744017500582,1.0,0.5468744017500582,recent56_sunday0,recent_2025
weekday,Wednesday,8,13713.0,11480.0,-2233.0,0.8371618172537009,0.547055479215071,1.0,0.547055479215071,recent14_sunday0,recent_2025
weekday,Wednesday,8,13713.0,11341.761904761905,-2371.2380952380954,0.8270810110670097,0.5529370771055693,1.0,0.5529370771055693,recent84_sunday0,recent_2025
weekday,Wednesday,8,13713.0,0.0,-13713.0,0.0,0.6871370390523275,1.0,0.6871370390523275,zero,recent_2025
weekday,Friday,8,23072.0,12913.095238095237,-10158.904761904763,0.5596868601809656,0.6194364123899976,1.0,0.6194364123899976,recent84_sunday0,seasonal_2024
weekday,Friday,8,23072.0,12174.564285714283,-10897.435714285717,0.5276770234792945,0.625501096726169,1.0,0.625501096726169,recent21_28_56_w35_45_20_sunday0,seasonal_2024
